Course Abbr,S/T,Course Title,Cr(US),Cr(ECTS),Start Date,End Date,Days,Time,Enr,Cap,Faculty,Room
CEE 302,1Lb,Geotechnical Engineering,3.0,6,14-AUG-23,24-NOV-23,M,03:00 PM-04:15 PM,33,35,Sung Moon,3E.143 -cap:14
CEE 302,2Lb,Geotechnical Engineering,3.0,6,14-AUG-23,24-NOV-23,W,03:00 PM-04:15 PM,33,35,Sung Moon,3E.143 -cap:14
CEE 304,1L,Fluid Mechanics,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,68,70,Ferhat Karaca,3.302 -cap:76
CEE 304,1T,Fluid Mechanics,3.0,6,14-AUG-23,24-NOV-23,F,05:00 PM-05:50 PM,68,70,Ferhat Karaca,3.302 -cap:76
CEE 306,1L,Civil EngineeringMaterials,3.0,6,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,68,70,Chang Shon,3E.220 -cap:90
CEE 306,1Lb,Civil EngineeringMaterials,3.0,6,14-AUG-23,24-NOV-23,M,05:00 PM-07:00 PM,17,18,Chang Shon,3E.136 -cap:22
CEE 306,2Lb,Civil EngineeringMaterials,3.0,6,14-AUG-23,24-NOV-23,T,06:00 PM-08:00 PM,18,18,Chang Shon,3E.136 -cap:22
CEE 306,3Lb,Civil EngineeringMaterials,3.0,6,14-AUG-23,24-NOV-23,W,05:00 PM-07:00 PM,17,17,Chang Shon,3E.136 -cap:22
CEE 306,4Lb,Civil EngineeringMaterials,3.0,6,14-AUG-23,24-NOV-23,R,06:00 PM-08:00 PM,16,17,Chang Shon,3E.136 -cap:22
CEE 401,1L,Construction Technologyand Management,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,58,70,Abid Nadeem,3.302 -cap:76
CEE 401,1T,Construction Technologyand Management,3.0,6,14-AUG-23,24-NOV-23,M,01:00 PM-01:50 PM,58,70,Abid Nadeem,3.302 -cap:76
CEE 450,1L,Behavior and Design ofStructural System,3.0,6,14-AUG-23,24-NOV-23,M W F,12:00 PM-12:50 PM,21,25,Dichuan Zhang,3.316 -cap:41
CEE 450,1P,Behavior and Design ofStructural System,3.0,6,14-AUG-23,24-NOV-23,F,01:00 PM-01:50 PM,21,25,Dichuan Zhang,3.316 -cap:41
CEE 460,1L,Water Supply andDistribution Management,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,31,25,Ferhat Karaca,3.317 -cap:40
CEE 460,1T,Water Supply andDistribution Management,3.0,6,14-AUG-23,24-NOV-23,M,03:00 PM-03:50 PM,31,25,Ferhat Karaca,3.317 -cap:40
CEE 462,1L,Pavement Design andPerformance,3.0,6,14-AUG-23,24-NOV-23,M F,10:00 AM-10:50 AM,23,25,Chang Shon,3.309 -cap:40
CEE 462,1P,Pavement Design andPerformance,3.0,6,14-AUG-23,24-NOV-23,F,03:00 PM-03:50 PM,23,25,Chang Shon,3.415 -cap:42
CEE 462,1L,Pavement Design andPerformance,3.0,6,14-AUG-23,24-NOV-23,W,10:00 AM-10:50 AM,23,25,Chang Shon,3.318 -cap:32
