Course Abbr,S/T,Course Title,Cr(US),Cr(ECTS),Start Date,End Date,Days,Time,Enr,Cap,Faculty,Room
KAZ 357,1L,Literature of Alash,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,30,30,Aigul Ismakova,8.105 -cap:56
KAZ 357,2L,Literature of Alash,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,29,30,ZhanarAbdigapparova,9.204 -cap:38
KAZ 359,1L,Professional Kazakh forMedicine,3.0,6,14-AUG-23,24-NOV-23,M W F,04:00 PM-04:50 PM,23,24,Kulyan Kopesh,8.508 -cap:24
KAZ 362,1L,Creative Writing inKazakh Language,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,29,30,KuralayOralbekova,7E.125/1- cap:36
KAZ 362,2L,Creative Writing inKazakh Language,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,30,30,KuralayOralbekova,7E.125/1- cap:36
KAZ 363,1S,Language andGlobalization,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,30,30,GulnaraOmarbekova,8.307 -cap:55
KAZ 364,1S,Kazakh for Civil Service,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,29,30,ElmiraOrazaliyeva,7.507 -cap:48
KAZ 371,1L,Contemporary KazakhLiterature,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,30,30,MustafaShokhayev,8.522 -cap:72
KAZ 371,2L,Contemporary KazakhLiterature,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,30,30,MustafaShokhayev,8.522 -cap:72
KAZ 371,3L,Contemporary KazakhLiterature,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,30,30,MustafaShokhayev,8.522 -cap:72
KAZ 371,4L,Contemporary KazakhLiterature,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,30,30,MustafaShokhayev,8.522 -cap:72
KAZ 371,5L,Contemporary KazakhLiterature,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,30,30,Aidyn Zhalmyrza,7E.125/1- cap:36
KAZ 371,6L,Contemporary KazakhLiterature,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,30,30,Aidyn Zhalmyrza,7E.125/1- cap:36
KAZ 373,1S,Kazakh Terminology,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,30,30,Sarkyt Aliszhan,2.307 -cap:75
KAZ 374,1S,Kazakh Diplomacy,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,31,30,ZeinekhanKuzekova,9.204 -cap:38
KAZ 376,1S,Language and Culture,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,30,30,Sarkyt Aliszhan,2.307 -cap:75
KAZ 377,1S,InterculturalCommunication throughFilm,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,30,30,ZeinepZhumatayeva,7.507 -cap:48
KAZ 410,1L,Kazakh literature of theXV-XIX centuries,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,12,16,Aigul Ismakova,8.105 -cap:56
KFL 101,1L,Elementary Kazakh as aForeign Language I,4.0,8,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,5,16,Aidar Balabekov,8.141 -cap:24
KOR 101,1L,Beginning Korean I,4.0,8,14-AUG-23,24-NOV-23,M T W R,09:00 AM-09:50 AM,23,24,Heui Jin Lee,8.310 -cap:27
KOR 201,1L,Intermediate Korean I,4.0,8,14-AUG-23,24-NOV-23,M T W R,10:00 AM-10:50 AM,24,24,Heui Jin Lee,8.310 -cap:27
KOR 301,1L,Advanced Korean I,4.0,8,14-AUG-23,24-NOV-23,M T W R,11:00 AM-11:50 AM,12,24,Heui Jin Lee,8.310 -cap:27
LING 131,1L,Introduction to Linguistics,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,97,100,Olga Potanina,5.103 -cap:160
LING 277,1L,Language Diversity andLanguage Universals,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,26,26,Olga Potanina,8.321 -cap:32
LING 278,1L,Sounds of the World’sLanguages,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,21,26,Benjamin Brosig,8.321 -cap:32
LING 372,1L,Discourse Analysis,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,25,26,Eva-MarieDubuisson,8.319 -cap:30
LING 374,1L,Language Contact inCentral Asia,3.0,6,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,22,26,Benjamin Brosig,8.321 -cap:32
LING 473,1L,Advanced EmpiricalMethods in Linguistics,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,15,24,Giorgia Troiani,8.308 -cap:24
MAE 201,2Lb,Computer Aided Design,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,2,5,Yerkin Abdildin,
MAE 201,1L,Computer Aided Design,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,57,65,Yerkin Abdildin,3.323 -cap:64
MAE 201,1Lb,Computer Aided Design,3.0,6,14-AUG-23,24-NOV-23,W,02:30 PM-03:30 PM,55,65,Yerkin Abdildin,3.323 -cap:64
MAE 300,1L,Fluid Mechanics I,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,58,70,Sergey Spotar,3.302 -cap:76
MAE 300,1T,Fluid Mechanics I,3.0,6,14-AUG-23,24-NOV-23,M,10:00 AM-10:50 AM,58,70,Sergey Spotar,3E.224 -cap:90
MAE 300,1Lb,Fluid Mechanics I,3.0,6,14-AUG-23,24-NOV-23,F,03:00 PM-04:45 PM,58,70,Sergey Spotar,3E.324 -cap:25
MAE 301,1L,EngineeringThermodynamics,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,57,70,Desmond Adair,3E.224 -cap:90
MAE 301,1T,EngineeringThermodynamics,3.0,6,14-AUG-23,24-NOV-23,M,02:00 PM-02:50 PM,57,70,Desmond Adair,3E.224 -cap:90
MAE 301,1Lb,EngineeringThermodynamics,3.0,6,14-AUG-23,24-NOV-23,M,04:00 PM-05:45 PM,57,70,Desmond Adair,3E.327 -cap:25
MAE 303,2L,Control Systems,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,6,8,Md. Hazrat Ali,
MAE 303,2Lb,Control Systems,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,6,8,Md. Hazrat Ali,
MAE 303,1L,Control Systems,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,57,70,Md. Hazrat Ali,3E.224 -cap:90
MAE 303,1Lb,Control Systems,3.0,6,14-AUG-23,24-NOV-23,W,12:00 PM-01:45 PM,57,70,Md. Hazrat Ali,3E.326 -cap:30
MAE 307,2T,Engineering Dynamics II,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,4,5,Sherif Gouda,
MAE 307,1L,Engineering Dynamics II,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,55,70,Sherif Gouda,Online -cap:0
MAE 307,1T,Engineering Dynamics II,3.0,6,14-AUG-23,24-NOV-23,M,03:00 PM-03:50 PM,51,70,Sherif Gouda,Online -cap:0
MAE 307,1Lb,Engineering Dynamics II,3.0,6,14-AUG-23,24-NOV-23,W,02:00 PM-04:45 PM,55,70,Sherif Gouda,3E.328 -cap:20
MAE 400,1T,Heat Transfer,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,53,60,YerbolSarbassov,
MAE 400,2Lb,Heat Transfer,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,4,5,YerbolSarbassov,
MAE 400,1L,Heat Transfer,3.0,6,14-AUG-23,24-NOV-23,M W F,09:00 AM-09:50 AM,53,60,YerbolSarbassov,7E.529 -cap:95
MAE 400,1Lb,Heat Transfer,3.0,6,14-AUG-23,24-NOV-23,W,03:00 PM-05:45 PM,49,60,YerbolSarbassov,3E.327 -cap:25
MAE 401,1T,Mechanical SystemsDesign,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,51,65,Didier Talamona,
MAE 401,1L,Mechanical SystemsDesign,3.0,6,14-AUG-23,24-NOV-23,T,09:00 AM-10:15 AM,51,65,Didier Talamona,3E.223 -cap:63
MAE 401,1L,Mechanical SystemsDesign,3.0,6,14-AUG-23,24-NOV-23,R,09:00 AM-10:15 AM,51,65,Didier Talamona,7E.429 -cap:90
MAE 401,1P,Mechanical SystemsDesign,3.0,6,14-AUG-23,24-NOV-23,T,12:00 PM-01:05 PM,51,65,Didier Talamona,3E.330 -cap:15
MAE 450,1L,Additive Manufacturing,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,22,20,Didier Talamona,3.316 -cap:41
MAE 450,1Lb,Additive Manufacturing,3.0,6,14-AUG-23,24-NOV-23,R,12:00 PM-12:45 PM,22,20,Didier Talamona,3E.334 -cap:20
MAE 453,1L,Fire Engineering,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,4,20,Yong Zhao,3E.227 -cap:28
MAE 453,1T,Fire Engineering,3.0,6,14-AUG-23,24-NOV-23,F,02:00 PM-02:50 PM,4,20,Yong Zhao,3E.227 -cap:28
MAE 453,1Lb,Fire Engineering,3.0,6,14-AUG-23,24-NOV-23,R,03:00 PM-05:45 PM,4,20,Yong Zhao,3E.327 -cap:25
MAE 454,1T,Aerodynamics,3.0,6,14-AUG-23,24-NOV-23,M,02:00 PM-02:50 PM,42,50,Basman Elhadidi,3.302 -cap:76
MAE 454,1L,Aerodynamics,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,42,50,Basman Elhadidi,3.407 -cap:40
MAE 455,1L,Flight Performance andMechanics,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,15,20,Basman Elhadidi,3.303 -cap:32
MAE 455,1T,Flight Performance andMechanics,3.0,6,14-AUG-23,24-NOV-23,W,12:00 PM-12:50 PM,15,20,Basman Elhadidi,3.318 -cap:32
MAE 462,1Lb,Multiphase Systems,3.0,6,14-AUG-23,24-NOV-23,T,03:00 PM-04:45 PM,2,15,Sergey Spotar,7.522 -cap:30
MAE 462,1L,Multiphase Systems,3.0,6,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,2,15,Sergey Spotar,3.407 -cap:40
MATH 161,3L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,62,60,Viktor Ten,8.327 -cap:58
MATH 161,4L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,04:00 PM-04:50 PM,61,60,Catalina Troshev,8.327 -cap:58
MATH 161,6L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,60,60,Viktor Ten,8.327 -cap:58
MATH 161,1L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,60,60,AchenefTesfahun,7E.222 -cap:95
MATH 161,1R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M,06:00 PM-06:50 PM,83,85,Erum Rehman,7E.222 -cap:95
MATH 161,3R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M,07:00 PM-07:50 PM,79,85,Piotr SebastianSkrzypacz,7E.222 -cap:95
MATH 161,4R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,T,06:00 PM-06:50 PM,85,85,Samat Kassabek,7E.222 -cap:95
MATH 161,5R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,T,07:00 PM-07:50 PM,52,85,ZhibekKadyrsizova,7E.222 -cap:95
MATH 161,6R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,W,06:00 PM-06:50 PM,84,85,ZhanbotaMyrzakul,7E.222 -cap:95
MATH 161,7L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,09:00 AM-09:50 AM,59,60,Andrey Melnikov,7E.222 -cap:95
MATH 161,7R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,W,07:00 PM-07:50 PM,55,85,Andrey Melnikov,7E.222 -cap:95
MATH 161,8L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,60,60,Andrey Melnikov,7E.222 -cap:95
MATH 161,8R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,R,06:00 PM-06:50 PM,85,85,AchenefTesfahun,7E.222 -cap:95
MATH 161,9L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,90,90,Catalina Troshev,7E.222 -cap:95
MATH 161,9R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,R,07:00 PM-07:50 PM,66,85,Alejandro JavierCastro Castilla,7E.222 -cap:95
MATH 161,10R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,F,07:00 PM-07:50 PM,61,85,Catalina Troshev,7E.222 -cap:95
MATH 161,11L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,55,60,ZhanbotaMyrzakul,7E.222 -cap:95
MATH 161,12L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,03:00 PM-03:50 PM,57,60,ZhanbotaMyrzakul,7E.222 -cap:95
MATH 161,12R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,F,06:00 PM-06:50 PM,84,85,Eunghyun Lee,7E.222 -cap:95
MATH 161,13L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,04:00 PM-04:50 PM,57,60,ZhibekKadyrsizova,7E.222 -cap:95
MATH 161,2L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,50,50,AigerimMadiyeva,7E.329 -cap:95
MATH 161,2R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M,06:00 PM-06:50 PM,85,85,DurvudkhanSuragan,7E.529 -cap:95
MATH 161,5L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,85,90,Samat Kassabek,7E.529 -cap:95
MATH 161,10L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,04:00 PM-04:50 PM,89,90,Viktor Ten,7E.529 -cap:95
MATH 161,11R,Calculus I,4.0,8,14-AUG-23,24-NOV-23,T,06:00 PM-06:50 PM,83,85,Viktor Ten,7E.529 -cap:95
MATH 161,14L,Calculus I,4.0,8,14-AUG-23,24-NOV-23,M W F,03:00 PM-03:50 PM,57,60,Samat Kassabek,7E.529 -cap:95
MATH 162,1L,Calculus II,4.0,8,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,88,90,ZhanbotaMyrzakul,7E.222 -cap:95
MATH 162,2L,Calculus II,4.0,8,14-AUG-23,24-NOV-23,M W F,12:00 PM-12:50 PM,14,30,ZhanbotaMyrzakul,7E.329 -cap:95
MATH 162,1R,Calculus II,4.0,8,14-AUG-23,24-NOV-23,T,07:00 PM-07:50 PM,87,90,RustemTakhanov,7E.529 -cap:95
MATH 162,2R,Calculus II,4.0,8,14-AUG-23,24-NOV-23,T,07:00 PM-07:50 PM,15,30,ZhanbotaMyrzakul,7E.429 -cap:90
MATH 251,5L,Discrete Mathematics,3.0,6,14-AUG-23,24-NOV-23,M W F,12:00 PM-12:50 PM,54,60,MichaelAristidou,8.327 -cap:58
MATH 251,2L,Discrete Mathematics,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,65,60,Manat Mustafa,7E.222 -cap:95
MATH 251,3L,Discrete Mathematics,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,66,60,Manat Mustafa,7E.222 -cap:95
MATH 251,1L,Discrete Mathematics,3.0,6,14-AUG-23,24-NOV-23,M W F,05:00 PM-05:50 PM,49,60,Abdul Wahab,7E.529 -cap:95
MATH 251,4L,Discrete Mathematics,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,52,60,Abdul Wahab,7E.529 -cap:95
MATH 263,1L,Calculus III,4.0,8,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,57,50,Amin Esfahani,7E.529 -cap:95
MATH 263,1R,Calculus III,4.0,8,14-AUG-23,24-NOV-23,W,06:00 PM-06:50 PM,59,50,Kerem Ugurlu,7E.529 -cap:95
MATH 263,2L,Calculus III,4.0,8,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,54,50,Amin Esfahani,7E.529 -cap:95
MATH 263,2R,Calculus III,4.0,8,14-AUG-23,24-NOV-23,W,07:00 PM-07:50 PM,52,50,Amin Esfahani,7E.529 -cap:95
MATH 273,4L,Linear Algebra withApplications,4.0,8,14-AUG-23,24-NOV-23,M W F,05:00 PM-05:50 PM,61,60,Dongming Wei,8.327 -cap:58
MATH 273,5L,Linear Algebra withApplications,4.0,8,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,60,60,Catalina Troshev,8.327 -cap:58
MATH 273,1R,Linear Algebra withApplications,4.0,8,14-AUG-23,24-NOV-23,M,07:00 PM-07:50 PM,74,75,Dongming Wei,7E.529 -cap:95
MATH 273,2L,Linear Algebra withApplications,4.0,8,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,88,90,MichaelAristidou,7E.529 -cap:95
MATH 273,2R,Linear Algebra withApplications,4.0,8,14-AUG-23,24-NOV-23,R,07:00 PM-07:50 PM,75,75,Yerlan Amanbek,7E.529 -cap:95
MATH 273,3L,Linear Algebra withApplications,4.0,8,14-AUG-23,24-NOV-23,M W F,12:00 PM-12:50 PM,94,90,Catalina Troshev,7E.529 -cap:95
MATH 273,3R,Linear Algebra withApplications,4.0,8,14-AUG-23,24-NOV-23,R,06:00 PM-06:50 PM,78,75,ArdakKashkynbayev,7E.529 -cap:95
MATH 273,4R,Linear Algebra withApplications,4.0,8,14-AUG-23,24-NOV-23,F,06:00 PM-06:50 PM,76,75,MichaelAristidou,7E.529 -cap:95
MATH 274,2L,Introduction toDifferential Equations,3.0,6,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,48,50,Samat Kassabek,8.327 -cap:58
MATH 274,1L,Introduction toDifferential Equations,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,47,50,Tolga Etgu,7E.221 -cap:56
MATH 301,1L,Introduction to NumberTheory,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,43,40,DurvudkhanSuragan,8.327 -cap:58
MATH 302,1L,Abstract Algebra I,3.0,6,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,46,40,ZhibekKadyrsizova,7E.221 -cap:56
MATH 302,2L,Abstract Algebra I,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,43,40,MichaelAristidou,7E.221 -cap:56
MATH 310,1L,Applied StatisticalMethods,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,57,60,Erum Rehman,7E.222 -cap:95
MATH 321,1L,Probability,3.0,6,14-AUG-23,24-NOV-23,M W F,05:00 PM-05:50 PM,89,90,AigerimMadiyeva,7E.222 -cap:95
MATH 321,2L,Probability,3.0,6,14-AUG-23,24-NOV-23,M W F,12:00 PM-12:50 PM,60,60,AigerimMadiyeva,7E.222 -cap:95
MATH 322,1L,Mathematical Statistics,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,50,40,Erum Rehman,7E.221 -cap:56
MATH 351,1L,Numerical Methods withApplications,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,49,40,DurvudkhanSuragan,7E.221 -cap:56
MATH 361,1L,Real Analysis I,3.0,6,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,42,40,Eunghyun Lee,7E.221 -cap:56
MATH 361,2L,Real Analysis I,3.0,6,14-AUG-23,24-NOV-23,M W F,03:00 PM-03:50 PM,44,40,Eunghyun Lee,7E.221 -cap:56
MATH 371,1L,Introduction toMathematical Biology,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,42,40,ArdakKashkynbayev,8.327 -cap:58
MATH 424,1L,Mathematical Finance,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,60,40,Dongming Wei,7E.221 -cap:56
MATH 425,1L,Stochastic Processes,3.0,6,14-AUG-23,24-NOV-23,M W F,12:00 PM-12:50 PM,43,40,Kerem Ugurlu,7E.221 -cap:56
MATH 446,1L,Time Series Analysis,3.0,6,14-AUG-23,24-NOV-23,M W F,04:00 PM-04:50 PM,29,40,Kerem Ugurlu,7E.221 -cap:56
MATH 449,1L,Statistical Programming,3.0,6,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,43,40,RustemTakhanov,8.307 -cap:55
MATH 471,1L,Nonlinear DifferentialEquations,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,42,40,ArdakKashkynbayev,8.327 -cap:58
MATH 477,1L,Applied Finite ElementMethods,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,26,40,Yerlan Amanbek,7E.329 -cap:95
MATH 480,1L,Complex Analysis,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,42,40,Alejandro JavierCastro Castilla,7.210 -cap:54
MATH 481,1L,Partial DifferentialEquations,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,14,40,AchenefTesfahun,8.327 -cap:58
MINE 301,1L,Mine Surveying andGeographic InformationSystems,3.0,6,14-AUG-23,24-NOV-23,W,09:00 AM-10:25 AM,6,15,Emil Bayramov,6.522 -cap:35
,,,,,,,R,12:30 PM-01:55 PM,,,,
MINE 302,1L,Geomechanics,3.0,6,14-AUG-23,24-NOV-23,T R,03:20 PM-04:25 PM,14,20,Fidelis Suorineni,6.519 -cap:26
MINE 401,1L,Mining GeotechnicalEngineering,3.0,6,14-AUG-23,24-NOV-23,T R,01:00 PM-02:15 PM,10,15,Ali Mortazavi,6.519 -cap:26
MINE 402,1L,Coal Mining,3.0,6,14-AUG-23,24-NOV-23,M W,09:00 AM-10:15 AM,10,15,Fidelis Suorineni,6.402 -cap:24
MINE 489,1S,Research Project I,3.0,6,14-AUG-23,24-NOV-23,F,05:00 PM-06:55 PM,10,15,Amoussou CoffiAdoko,6.302 -cap:44
NUR 103L,1L,Microbiology for Nurseswith Lab,4.0,8,14-AUG-23,24-NOV-23,W F,01:00 PM-04:00 PM,8,10,"Paolo Colet,Nancy Stitt,Joseph Almazan,Jonas Cruz, SyedHani HassanAbidi",NUSOM Building - cap:0
NUR 112,1L,Introduction toProfessional Nursing,2.0,4,14-AUG-23,24-NOV-23,M,09:00 AM-10:15 AM,9,10,"Paolo Colet,Nancy Stitt",8.318 -cap:14
NUR 112,1L,Introduction toProfessional Nursing,2.0,4,14-AUG-23,24-NOV-23,R,09:00 AM-10:15 AM,9,10,"Paolo Colet,Nancy Stitt",NUSOM Building - cap:0
NUR 201,1L,PathophysiologicFoundations of NursingCare,3.0,6,14-AUG-23,24-NOV-23,T,10:30 AM-12:00 PM,5,6,"Nancy Stitt,Ejercito Balay-Odao",NUSOM Building - cap:0
,,,,,,,M,01:00 PM-02:30 PM,,,,
NUR 203,1L,Pharmacology andTherapeutics,3.0,6,14-AUG-23,24-NOV-23,F,09:00 AM-10:30 AM,5,6,"Nancy Stitt,Vladimir Surov,Ejercito Balay-Odao",8.318 -cap:14
,,,,,,,R,10:30 AM-12:00 PM,,,,
NUR 204,1L,Nutrition Essentials forNursing Clinical Practice,2.0,4,14-AUG-23,24-NOV-23,W,01:00 PM-03:30 PM,5,6,Nancy Stitt,NUSOM Building - cap:0
NUR 205,1L,Psychology for the HealthPractitioner,3.0,6,14-AUG-23,24-NOV-23,M R,09:00 AM-10:30 AM,12,12,"Nancy Stitt,Faye Foster",NUSOM Building - cap:0
NUR 211,1L,Foundations of NursingPractice I,3.0,6,14-AUG-23,24-NOV-23,T R,01:00 PM-05:30 PM,5,6,"Paolo Colet,Nancy Stitt,Joseph Almazan",NUSOM Building - cap:0
NUR 221,1L,Nursing Research:Introduction to CriticalAppraisal and Evidence-Based Practice,3.0,6,14-AUG-23,24-NOV-23,M R,11:00 AM-12:15 PM,12,12,"Nancy Stitt,Jonas Cruz",NUSOM Building - cap:0
NUR 301,1L,Nutrition for ClinicalPractice,3.0,6,14-AUG-23,24-NOV-23,W,01:00 PM-03:30 PM,25,30,Nancy Stitt,NUSOM Building - cap:0
NUR 302,1L,Physical AssessmentAcross the Lifespan,4.0,8,14-AUG-23,24-NOV-23,T W,09:00 AM-12:00 PM,25,30,"Nancy Stitt,AinettaNurmagambetova, Ruslan Bilal,Joseph Almazan",NUSOM Building - cap:0
NUR 303,1L,Nursing Care of OlderAdults,4.0,8,14-AUG-23,24-NOV-23,M,01:00 PM-03:10 PM,25,30,"Nancy Stitt,Joseph Almazan",NUSOM Building - cap:0
,,,,,,,R,02:30 PM-04:40 PM,,,,
NUR 304,1L,Introduction to BasicStatistics for EvidenceBased Practice,3.0,6,14-AUG-23,24-NOV-23,T R,12:30 PM-02:10 PM,25,30,"Nancy Stitt,Arnur Gusmanov",NUSOM Building - cap:0
NUR 311C,1ClinPract,Obstetric Nursing +Clinical,5.0,10,14-AUG-23,24-NOV-23,T W,08:00 AM-04:00 PM,12,12,"Paolo Colet,Nancy Stitt,Joseph Almazan",NUSOM Building - cap:0
NUR 311C,1L,Obstetric Nursing +Clinical,5.0,10,14-AUG-23,24-NOV-23,M,01:00 PM-03:45 PM,12,12,"Paolo Colet,Nancy Stitt,Joseph Almazan",NUSOM Building - cap:0
NUR 312C,1ClinPract,Pediatric Nursing +Clinical: Care of Childrenand Families,4.0,8,14-AUG-23,24-NOV-23,F,08:00 AM-04:00 PM,12,12,"Paolo Colet,Nancy Stitt,Ruslan Bilal,Joseph Almazan",NUSOM Building - cap:0
NUR 312C,1L,Pediatric Nursing +Clinical: Care of Childrenand Families,4.0,8,14-AUG-23,24-NOV-23,R,01:00 PM-04:00 PM,12,12,"Paolo Colet,Nancy Stitt,Ruslan Bilal,Joseph Almazan",NUSOM Building - cap:0
NUR 401,1L,Education: Principles andPractice for Teaching inNursing,4.0,8,14-AUG-23,24-NOV-23,T R,09:30 AM-11:40 AM,29,30,"Nancy Stitt,AnargulKuntuganova",NUSOM Building - cap:0
NUR 403,1L,Data Analytics for QualityImprovement inHealthcare,3.0,6,14-AUG-23,24-NOV-23,M,01:00 PM-02:40 PM,29,30,"Paolo Colet,Nancy Stitt,AnargulKuntuganova",NUSOM Building - cap:0
,,,,,,,R,02:30 PM-03:40 PM,,,,
NUR 404,1L,Community and HomeHealth Nursing,4.0,8,14-AUG-23,24-NOV-23,T R,12:00 PM-02:10 PM,29,30,"Paolo Colet,Nancy Stitt,AnargulKuntuganova",NUSOM Building - cap:0
,,,,,,,T,02:15 PM-05:15 PM,,,,
NUR 406.1,1L,Medical-Surgical Nursing: Complex Surgical Management,4.0,8,14-AUG-23,24-NOV-23,M W,09:30 AM-12:30 PM,29,30,"Nancy Stitt,AinettaNurmagambetova,JosephAlmazan,Ejercito Balay- Odao",NUSOM Building - cap:0
NUR 411C,1ClinPract,Community and Home Health Nursing and Clinical,4.0,8,14-AUG-23,24-NOV-23,F,09:00 AM-04:00 PM,10,10,"PaoloColet,NancyStitt,JonasCruz",NUSOM Building - cap:0
NUR 411C,1L,Community and Home Health Nursing and Clinical,4.0,8,14-AUG-23,24-NOV-23,M R,01:15 PM-02:15 PM,10,10,"PaoloColet,NancyStitt,JonasCruz",NUSOM Building - cap:0
